date,년월,품목,그룹,레벨,수출액_억불,YoY_증감률_pct
2018-10-01,2018-10,메모리,메모리,대분류,87.7,26.5
2018-10-01,2018-10,메모리 D램,메모리,세부,42.6,36.9
2018-10-01,2018-10,메모리 MCP,메모리,세부,18.6,-30.8
2018-10-01,2018-10,메모리 낸드,메모리,세부,7.1,34.8
2018-10-01,2018-10,반도체,반도체 합계,합계,115.8,22.2
2018-10-01,2018-10,시스템 반도체,시스템반도체,대분류,23.0,8.4
2018-11-01,2018-11,개별소자,개별소자,대분류,4.7,6.5
2018-11-01,2018-11,디스플레이 패널,디스플레이,별도,20.8,-10.0
2018-11-01,2018-11,메모리,메모리,대분류,80.5,17.0
2018-11-01,2018-11,메모리 D램,메모리,세부,42.0,40.6
2018-11-01,2018-11,메모리 MCP,메모리,세부,18.4,-32.2
2018-11-01,2018-11,메모리 낸드,메모리,세부,6.6,31.1
2018-11-01,2018-11,반도체,반도체 합계,합계,106.8,11.6
2018-11-01,2018-11,시스템 반도체,시스템반도체,대분류,21.7,-3.6
2018-12-01,2018-12,개별소자,개별소자,대분류,4.4,-4.7
2018-12-01,2018-12,디스플레이 패널,디스플레이,별도,19.8,-1.8
2018-12-01,2018-12,메모리,메모리,대분류,63.8,-10.2
2018-12-01,2018-12,메모리 D램,메모리,세부,32.4,0.9
2018-12-01,2018-12,메모리 MCP,메모리,세부,14.5,-46.6
2018-12-01,2018-12,메모리 낸드,메모리,세부,6.2,24.0
2018-12-01,2018-12,반도체,반도체 합계,합계,88.5,-8.5
2018-12-01,2018-12,시스템 반도체,시스템반도체,대분류,20.3,-2.9
2019-01-01,2019-01,개별소자,개별소자,대분류,4.9,-5.8
2019-01-01,2019-01,디스플레이 패널,디스플레이,별도,18.7,-7.5
2019-01-01,2019-01,메모리,메모리,대분류,47.6,-30.4
2019-01-01,2019-01,메모리 D램,메모리,세부,24.3,-22.0
2019-01-01,2019-01,메모리 MCP,메모리,세부,12.5,-49.8
